ID,Source file and JSON path,Group,Exact screen/card,English source,Complete intended meaning,Current Kannada,Literal meaning of current Kannada,Missing meaning,Added meaning,Grammar problem,Spelling problem,Word-order problem,Register problem,Punctuation problem,Fragment composition,Display/narration/both,Runtime consumer,Proposed complete Kannada display,Proposed complete Kannada narration,Names/numbers/acronyms preserved,Human approval status,Defective,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.availability.official_fact_blocked,backend/data/locales/ui.json#kn.availability.official_fact_blocked,3. Errors and clarifications,Unavailable-information assistant turn — availability.official_fact_blocked,"This information has not yet been officially confirmed.
Please contact the relevant department for more information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This information has not yet been officially confirmed.
Please contact the relevant department for more information.","ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.","Working literal gloss: This information has not yet been officially confirmed.
Please contact the relevant department for more information.",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend/frontend fail-closed adapters → ChatScreen/card; TTS blocker narration,"ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.",ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.availability.unknown,backend/data/locales/ui.json#kn.availability.unknown,3. Errors and clarifications,Unavailable-information assistant turn — availability.unknown,"I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.","ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ಲಭ್ಯವಿಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯಲ್ಲಿ ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.","Working literal gloss: I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend/frontend fail-closed adapters → ChatScreen/card; TTS blocker narration,"ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ನನ್ನ ಬಳಿ ಇಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯ ಕುರಿತು ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.","ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ನನ್ನ ಬಳಿ ಇಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯ ಕುರಿತು ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.",YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.availability.missing_source,backend/data/locales/ui.json#kn.availability.missing_source,3. Errors and clarifications,Unavailable-information assistant turn — availability.missing_source,"This information is not available in the approved source.
Please contact the relevant department for more information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This information is not available in the approved source.
Please contact the relevant department for more information.","ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.","Working literal gloss: This information is not available in the approved source.
Please contact the relevant department for more information.",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend/frontend fail-closed adapters → ChatScreen/card; TTS blocker narration,"ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.",ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.thank_you,backend/data/locales/ui.json#kn.session.thank_you,2. Session messages,Session controls / ending state — session.thank_you,Thank you.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Thank you.",ಧನ್ಯವಾದಗಳು.,Working literal gloss: Thank you.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend App/ChatScreen session controls and reset states,ಧನ್ಯವಾದಗಳು.,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.goodbye,backend/data/locales/ui.json#kn.session.goodbye,2. Session messages,Session controls / ending state — session.goodbye,Goodbye.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Goodbye.",ವಿದಾಯ.,Working literal gloss: Goodbye.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend App/ChatScreen session controls and reset states,ವಿದಾಯ.,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.timeout,backend/data/locales/ui.json#kn.session.timeout,2. Session messages,Session controls / ending state — session.timeout,This session has timed out.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This session has timed out.",ಈ ಅಧಿವೇಶನದ ಸಮಯ ಮೀರಿದೆ.,Working literal gloss: This session has timed out.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend App/ChatScreen session controls and reset states,ಈ ಸಂವಾದದ ಅವಧಿ ಮುಗಿದಿದೆ.,,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.session.ending,backend/data/locales/ui.json#kn.session.ending,2. Session messages,Session controls / ending state — session.ending,This session is ending.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This session is ending.",ಈ ಅಧಿವೇಶನ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ.,Working literal gloss: This session is ending.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend App/ChatScreen session controls and reset states,ಈ ಸಂವಾದವು ಈಗ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ.,,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.session.interrupted,backend/data/locales/ui.json#kn.session.interrupted,2. Session messages,Session controls / ending state — session.interrupted,The previous response was interrupted.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The previous response was interrupted.",ಹಿಂದಿನ ಉತ್ತರವನ್ನು ನಿಲ್ಲಿಸಲಾಗಿದೆ.,Working literal gloss: The previous response was interrupted.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend App/ChatScreen session controls and reset states,ಹಿಂದಿನ ಉತ್ತರವನ್ನು ಮಧ್ಯದಲ್ಲೇ ನಿಲ್ಲಿಸಲಾಗಿದೆ.,,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.session.back,backend/data/locales/ui.json#kn.session.back,2. Session messages,Session controls / ending state — session.back,Back,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Back",ಹಿಂದೆ,Working literal gloss: Back,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,Intentional control label; it must not be concatenated into narration.,display,frontend App/ChatScreen session controls and reset states,ಹಿಂದೆ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.home,backend/data/locales/ui.json#kn.session.home,2. Session messages,Session controls / ending state — session.home,Go home,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Go home",ಮುಖಪುಟಕ್ಕೆ ಹೋಗಿ,Working literal gloss: Go home,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,Intentional control label; it must not be concatenated into narration.,display,frontend App/ChatScreen session controls and reset states,ಮುಖಪುಟಕ್ಕೆ ಹೋಗಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.close,backend/data/locales/ui.json#kn.session.close,2. Session messages,Session controls / ending state — session.close,Close,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Close",ಮುಚ್ಚಿ,Working literal gloss: Close,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,Intentional control label; it must not be concatenated into narration.,display,frontend App/ChatScreen session controls and reset states,ಮುಚ್ಚಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.retry_connection,backend/data/locales/ui.json#kn.session.retry_connection,2. Session messages,Session controls / ending state — session.retry_connection,Retry connection,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Retry connection",ಮತ್ತೆ ಸಂಪರ್ಕಿಸಿ,Working literal gloss: Retry connection,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,Intentional control label; it must not be concatenated into narration.,display,frontend App/ChatScreen session controls and reset states,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.session.enable_face_display,backend/data/locales/ui.json#kn.session.enable_face_display,2. Session messages,Session controls / ending state — session.enable_face_display,Enable face display,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Enable face display",ಮುಖ ಪ್ರದರ್ಶನವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,Working literal gloss: Enable face display,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,Intentional control label; it must not be concatenated into narration.,display,frontend App/ChatScreen session controls and reset states,ಮುಖ ಪ್ರದರ್ಶನವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.department,backend/data/locales/ui.json#kn.cards.department,6. Departments,Card headings — cards.department,Department,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Department",ವಿಭಾಗ,Working literal gloss: Department,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ವಿಭಾಗ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.hod_and_vision,backend/data/locales/ui.json#kn.cards.hod_and_vision,7. HOD,Card headings — cards.hod_and_vision,Head of Department and vision,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Head of Department and vision",ವಿಭಾಗ ಮುಖ್ಯಸ್ಥರು ಮತ್ತು ದೃಷ್ಟಿಕೋನ,Working literal gloss: Head of Department and vision,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ವಿಭಾಗ ಮುಖ್ಯಸ್ಥರು ಮತ್ತು ದೃಷ್ಟಿಕೋನ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.achievements,backend/data/locales/ui.json#kn.cards.achievements,10. Achievements,Card headings — cards.achievements,Achievements,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Achievements",ಸಾಧನೆಗಳು,Working literal gloss: Achievements,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಸಾಧನೆಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.placements,backend/data/locales/ui.json#kn.cards.placements,9. Placements,Card headings — cards.placements,Placements,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Placements",ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು,Working literal gloss: Placements,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.placements_training,backend/data/locales/ui.json#kn.cards.placements_training,9. Placements,Card headings — cards.placements_training,Placements and training,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Placements and training",ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಮತ್ತು ತರಬೇತಿ,Working literal gloss: Placements and training,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಮತ್ತು ತರಬೇತಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.fees,backend/data/locales/ui.json#kn.cards.fees,8. Fees,Card headings — cards.fees,Fee details,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Fee details",ಶುಲ್ಕದ ವಿವರಗಳು,Working literal gloss: Fee details,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಶುಲ್ಕದ ವಿವರಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.eligibility,backend/data/locales/ui.json#kn.cards.eligibility,5. Admissions,Card headings — cards.eligibility,Eligibility,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Eligibility",ಅರ್ಹತೆ,Working literal gloss: Eligibility,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಅರ್ಹತೆ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.entrance_exams,backend/data/locales/ui.json#kn.cards.entrance_exams,5. Admissions,Card headings — cards.entrance_exams,Entrance examinations,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Entrance examinations",ಪ್ರವೇಶ ಪರೀಕ್ಷೆಗಳು,Working literal gloss: Entrance examinations,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಪ್ರವೇಶ ಪರೀಕ್ಷೆಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.ug_fees,backend/data/locales/ui.json#kn.cards.ug_fees,8. Fees,Card headings — cards.ug_fees,Undergraduate fee information,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Undergraduate fee information",ಪದವಿಪೂರ್ವ ಶುಲ್ಕದ ಮಾಹಿತಿ,Working literal gloss: Undergraduate fee information,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಪದವಿಪೂರ್ವ ಶುಲ್ಕದ ಮಾಹಿತಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.pg_fees,backend/data/locales/ui.json#kn.cards.pg_fees,8. Fees,Card headings — cards.pg_fees,MBA and postgraduate fee information,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: MBA and postgraduate fee information",MBA ಮತ್ತು ಸ್ನಾತಕೋತ್ತರ ಶುಲ್ಕದ ಮಾಹಿತಿ,Working literal gloss: MBA and postgraduate fee information,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,MBA ಮತ್ತು ಸ್ನಾತಕೋತ್ತರ ಶುಲ್ಕದ ಮಾಹಿತಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.scholarships,backend/data/locales/ui.json#kn.cards.scholarships,5. Admissions,Card headings — cards.scholarships,Scholarships,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Scholarships",ವಿದ್ಯಾರ್ಥಿವೇತನಗಳು,Working literal gloss: Scholarships,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ವಿದ್ಯಾರ್ಥಿವೇತನಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.training_objectives,backend/data/locales/ui.json#kn.cards.training_objectives,9. Placements,Card headings — cards.training_objectives,Training and placement objectives,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Training and placement objectives",ತರಬೇತಿ ಮತ್ತು ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಉದ್ದೇಶಗಳು,Working literal gloss: Training and placement objectives,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ತರಬೇತಿ ಮತ್ತು ಪ್ಲೇಸ್‌ಮೆಂಟ್ ಉದ್ದೇಶಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.training_programs,backend/data/locales/ui.json#kn.cards.training_programs,9. Placements,Card headings — cards.training_programs,Training programs,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Training programs",ತರಬೇತಿ ಕಾರ್ಯಕ್ರಮಗಳು,Working literal gloss: Training programs,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ತರಬೇತಿ ಕಾರ್ಯಕ್ರಮಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.summary,backend/data/locales/ui.json#kn.cards.summary,5. Admissions,Card headings — cards.summary,Summary,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Summary",ಸಂಕ್ಷಿಪ್ತ ಮಾಹಿತಿ,Working literal gloss: Summary,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಸಂಕ್ಷಿಪ್ತ ಮಾಹಿತಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.information_unavailable,backend/data/locales/ui.json#kn.cards.information_unavailable,5. Admissions,Card headings — cards.information_unavailable,Information is not available.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Information is not available.",ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.,Working literal gloss: Information is not available.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.cards.college_brochure,backend/data/locales/ui.json#kn.cards.college_brochure,5. Admissions,Card headings — cards.college_brochure,College brochure,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: College brochure",ಕಾಲೇಜಿನ ಮಾಹಿತಿ ಕೈಪಿಡಿ,Working literal gloss: College brochure,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend card builders via uiCopy,ಕಾಲೇಜಿನ ಮಾಹಿತಿ ಕೈಪಿಡಿ,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.documents.title,backend/data/locales/ui.json#kn.documents.title,5. Admissions,Admissions documents card — documents.title,Required documents,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Required documents",ಅಗತ್ಯ ದಾಖಲೆಗಳು,Working literal gloss: Required documents,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend DocumentsBlock via uiCopy,ಅಗತ್ಯ ದಾಖಲೆಗಳು,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.documents.items.marks_10,backend/data/locales/ui.json#kn.documents.items.marks_10,5. Admissions,Admissions documents card — documents.items.marks_10,10th Marks Card,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: 10th Marks Card",10ನೇ ತರಗತಿ ಮಾರ್ಕ್ಸ್ ಕಾರ್ಡ್,Working literal gloss: 10th Marks Card,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,display,frontend DocumentsBlock via uiCopy,10ನೇ ತರಗತಿ ಮಾರ್ಕ್ಸ್ ಕಾರ್ಡ್,,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
