ID,Screen/card,English source,Intended meaning,Current Kannada,Current literal meaning,Problem,Proposed Kannada display,Proposed Kannada narration,Names/numbers/acronyms preserved,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.error.microphone_blocked,Error assistant turn / browser speech recovery — error.microphone_blocked,The browser blocked voice input. Please allow microphone access or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The browser blocked voice input. Please allow microphone access or type your question.",ಬ್ರೌಸರ್ ಧ್ವನಿ ಇನ್‌ಪುಟ್ ಅನ್ನು ನಿರ್ಬಂಧಿಸಿದೆ. ದಯವಿಟ್ಟು ಮೈಕ್ರೊಫೋನ್‌ಗೆ ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: The browser blocked voice input. Please allow microphone access or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಬ್ರೌಸರ್ ಧ್ವನಿ ಇನ್‌ಪುಟ್ ಅನ್ನು ನಿರ್ಬಂಧಿಸಿದೆ. ದಯವಿಟ್ಟು ಮೈಕ್ರೊಫೋನ್‌ಗೆ ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಬ್ರೌಸರ್ ಧ್ವನಿ ಇನ್‌ಪುಟ್ ಅನ್ನು ನಿರ್ಬಂಧಿಸಿದೆ. ದಯವಿಟ್ಟು ಮೈಕ್ರೊಫೋನ್‌ಗೆ ಅನುಮತಿ ನೀಡಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.microphone_start,Error assistant turn / browser speech recovery — error.microphone_start,The microphone could not be started. Please try again or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The microphone could not be started. Please try again or type your question.",ಮೈಕ್ರೊಫೋನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: The microphone could not be started. Please try again or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಮೈಕ್ರೊಫೋನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಮೈಕ್ರೊಫೋನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.voice_unsupported,Error assistant turn / browser speech recovery — error.voice_unsupported,"Voice input is not supported in this browser. Please use Chrome or Edge, or type your question.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Voice input is not supported in this browser. Please use Chrome or Edge, or type your question.","ಈ ಬ್ರೌಸರ್‌ನಲ್ಲಿ ಧ್ವನಿ ಇನ್‌ಪುಟ್ ಲಭ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು Chrome ಅಥವಾ Edge ಬಳಸಿ, ಇಲ್ಲವೇ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.","Working literal gloss: Voice input is not supported in this browser. Please use Chrome or Edge, or type your question.",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಈ ಬ್ರೌಸರ್‌ನಲ್ಲಿ ಧ್ವನಿ ಇನ್‌ಪುಟ್‌ಗೆ ಬೆಂಬಲವಿಲ್ಲ. ದಯವಿಟ್ಟು Chrome ಅಥವಾ Edge ಬಳಸಿ; ಇಲ್ಲವಾದರೆ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಈ ಬ್ರೌಸರ್‌ನಲ್ಲಿ ಧ್ವನಿ ಇನ್‌ಪುಟ್‌ಗೆ ಬೆಂಬಲವಿಲ್ಲ. ದಯವಿಟ್ಟು Chrome ಅಥವಾ Edge ಬಳಸಿ; ಇಲ್ಲವಾದರೆ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.voice_failed,Error assistant turn / browser speech recovery — error.voice_failed,Voice input failed. Please try again or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Voice input failed. Please try again or type your question.",ಧ್ವನಿ ಇನ್‌ಪುಟ್ ವಿಫಲವಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: Voice input failed. Please try again or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಧ್ವನಿ ಇನ್‌ಪುಟ್ ವಿಫಲವಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಧ್ವನಿ ಇನ್‌ಪುಟ್ ವಿಫಲವಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.voice_timeout,Error assistant turn / browser speech recovery — error.voice_timeout,Voice recognition timed out. Please try again or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Voice recognition timed out. Please try again or type your question.",ಧ್ವನಿ ಗುರುತಿಸುವಿಕೆ ಸಮಯ ಮೀರಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: Voice recognition timed out. Please try again or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಧ್ವನಿ ಗುರುತಿಸುವಿಕೆಯ ಸಮಯ ಮೀರಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಧ್ವನಿ ಗುರುತಿಸುವಿಕೆಯ ಸಮಯ ಮೀರಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.voice_unrecognized,Error assistant turn / browser speech recovery — error.voice_unrecognized,I could not understand the audio. Please try again or type your question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I could not understand the audio. Please try again or type your question.",ಧ್ವನಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: I could not understand the audio. Please try again or type your question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಧ್ವನಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,ಧ್ವನಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.network,Error assistant turn / browser speech recovery — error.network,"Voice recognition could not reach the speech service. Check the internet connection, then try again.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Voice recognition could not reach the speech service. Check the internet connection, then try again.","ಧ್ವನಿ ಸೇವೆಯನ್ನು ಸಂಪರ್ಕಿಸಲಾಗಲಿಲ್ಲ. ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ, ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.","Working literal gloss: Voice recognition could not reach the speech service. Check the internet connection, then try again.",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಧ್ವನಿ ಗುರುತಿಸುವಿಕೆ ಸೇವೆಯನ್ನು ಸಂಪರ್ಕಿಸಲಾಗಲಿಲ್ಲ. ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ; ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ಧ್ವನಿ ಗುರುತಿಸುವಿಕೆ ಸೇವೆಯನ್ನು ಸಂಪರ್ಕಿಸಲಾಗಲಿಲ್ಲ. ಇಂಟರ್ನೆಟ್ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ; ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.offline,Error assistant turn / browser speech recovery — error.offline,"The kiosk is offline. Connect to the internet, then try again.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The kiosk is offline. Connect to the internet, then try again.",ಕಿಯೋಸ್ಕ್ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿದೆ. ಇಂಟರ್ನೆಟ್‌ಗೆ ಸಂಪರ್ಕಿಸಿದ ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,"Working literal gloss: The kiosk is offline. Connect to the internet, then try again.",No specific defect established by desk review; native-human sentence approval is still absent.,ಕಿಯೋಸ್ಕ್ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿದೆ. ಇಂಟರ್ನೆಟ್‌ಗೆ ಸಂಪರ್ಕಿಸಿದ ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ಕಿಯೋಸ್ಕ್ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿದೆ. ಇಂಟರ್ನೆಟ್‌ಗೆ ಸಂಪರ್ಕಿಸಿದ ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.backend,Error assistant turn / browser speech recovery — error.backend,The service is temporarily unavailable. Please try again.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The service is temporarily unavailable. Please try again.",ಸೇವೆಯು ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,Working literal gloss: The service is temporarily unavailable. Please try again.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಸೇವೆ ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ಸೇವೆ ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.empty_response,Error assistant turn / browser speech recovery — error.empty_response,I could not prepare a response. Please try again.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I could not prepare a response. Please try again.",ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,Working literal gloss: I could not prepare a response. Please try again.,No specific defect established by desk review; native-human sentence approval is still absent.,ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.invalid_request,Error assistant turn / browser speech recovery — error.invalid_request,The request could not be processed. Please try again.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The request could not be processed. Please try again.",ವಿನಂತಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,Working literal gloss: The request could not be processed. Please try again.,No specific defect established by desk review; native-human sentence approval is still absent.,ವಿನಂತಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ವಿನಂತಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.missing_text,Error assistant turn / browser speech recovery — error.missing_text,Please type or say a question.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please type or say a question.",ದಯವಿಟ್ಟು ಪ್ರಶ್ನೆಯನ್ನು ಹೇಳಿ ಅಥವಾ ಟೈಪ್ ಮಾಡಿ.,Working literal gloss: Please type or say a question.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಹೇಳಿ ಅಥವಾ ಟೈಪ್ ಮಾಡಿ.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಪ್ರಶ್ನೆಯನ್ನು ಹೇಳಿ ಅಥವಾ ಟೈಪ್ ಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.error.audio_unavailable,Error assistant turn / browser speech recovery — error.audio_unavailable,Voice output is temporarily unavailable. The information remains available on screen.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Voice output is temporarily unavailable. The information remains available on screen.",ಧ್ವನಿ ಸೇವೆ ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ಮಾಹಿತಿ ಪರದೆಯಲ್ಲಿ ಲಭ್ಯವಿದೆ.,Working literal gloss: Voice output is temporarily unavailable. The information remains available on screen.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಧ್ವನಿ ಮೂಲಕ ಉತ್ತರ ನೀಡುವ ಸೌಲಭ್ಯವು ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ಮಾಹಿತಿ ಪರದೆಯಲ್ಲಿ ಲಭ್ಯವಿದೆ.,ಧ್ವನಿ ಮೂಲಕ ಉತ್ತರ ನೀಡುವ ಸೌಲಭ್ಯವು ತಾತ್ಕಾಲಿಕವಾಗಿ ಲಭ್ಯವಿಲ್ಲ. ಮಾಹಿತಿ ಪರದೆಯಲ್ಲಿ ಲಭ್ಯವಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.availability.official_fact_blocked,Unavailable-information assistant turn — availability.official_fact_blocked,"This information has not yet been officially confirmed.
Please contact the relevant department for more information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This information has not yet been officially confirmed.
Please contact the relevant department for more information.","ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.","Working literal gloss: This information has not yet been officially confirmed.
Please contact the relevant department for more information.",No specific defect established by desk review; native-human sentence approval is still absent.,"ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.",ಈ ಮಾಹಿತಿಯನ್ನು ಇನ್ನೂ ಅಧಿಕೃತವಾಗಿ ದೃಢೀಕರಿಸಲಾಗಿಲ್ಲ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.availability.unknown,Unavailable-information assistant turn — availability.unknown,"I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.","ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ಲಭ್ಯವಿಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯಲ್ಲಿ ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.","Working literal gloss: I do not currently have reliable information about that. I can help with admissions, departments, placements, fees, facilities, and campus information.",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,"ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ನನ್ನ ಬಳಿ ಇಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯ ಕುರಿತು ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.","ಆ ವಿಷಯದ ಬಗ್ಗೆ ವಿಶ್ವಾಸಾರ್ಹ ಮಾಹಿತಿ ಈಗ ನನ್ನ ಬಳಿ ಇಲ್ಲ. ಪ್ರವೇಶಾತಿ, ವಿಭಾಗಗಳು, ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳು, ಶುಲ್ಕ, ಸೌಲಭ್ಯಗಳು ಮತ್ತು ಕ್ಯಾಂಪಸ್ ಮಾಹಿತಿಯ ಕುರಿತು ನಾನು ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.",YES,,READY_FOR_NATIVE_REVIEW,,
ui.availability.missing_source,Unavailable-information assistant turn — availability.missing_source,"This information is not available in the approved source.
Please contact the relevant department for more information.","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This information is not available in the approved source.
Please contact the relevant department for more information.","ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.","Working literal gloss: This information is not available in the approved source.
Please contact the relevant department for more information.",No specific defect established by desk review; native-human sentence approval is still absent.,"ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ.
ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.",ಅನುಮೋದಿತ ಮೂಲದಲ್ಲಿ ಈ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಸಂಬಂಧಿತ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.thank_you,Session controls / ending state — session.thank_you,Thank you.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Thank you.",ಧನ್ಯವಾದಗಳು.,Working literal gloss: Thank you.,No specific defect established by desk review; native-human sentence approval is still absent.,ಧನ್ಯವಾದಗಳು.,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.goodbye,Session controls / ending state — session.goodbye,Goodbye.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Goodbye.",ವಿದಾಯ.,Working literal gloss: Goodbye.,No specific defect established by desk review; native-human sentence approval is still absent.,ವಿದಾಯ.,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.timeout,Session controls / ending state — session.timeout,This session has timed out.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This session has timed out.",ಈ ಅಧಿವೇಶನದ ಸಮಯ ಮೀರಿದೆ.,Working literal gloss: This session has timed out.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಈ ಸಂವಾದದ ಅವಧಿ ಮುಗಿದಿದೆ.,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.ending,Session controls / ending state — session.ending,This session is ending.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: This session is ending.",ಈ ಅಧಿವೇಶನ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ.,Working literal gloss: This session is ending.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಈ ಸಂವಾದವು ಈಗ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ.,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.interrupted,Session controls / ending state — session.interrupted,The previous response was interrupted.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: The previous response was interrupted.",ಹಿಂದಿನ ಉತ್ತರವನ್ನು ನಿಲ್ಲಿಸಲಾಗಿದೆ.,Working literal gloss: The previous response was interrupted.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಹಿಂದಿನ ಉತ್ತರವನ್ನು ಮಧ್ಯದಲ್ಲೇ ನಿಲ್ಲಿಸಲಾಗಿದೆ.,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.back,Session controls / ending state — session.back,Back,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Back",ಹಿಂದೆ,Working literal gloss: Back,No specific defect established by desk review; native-human sentence approval is still absent.,ಹಿಂದೆ,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.home,Session controls / ending state — session.home,Go home,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Go home",ಮುಖಪುಟಕ್ಕೆ ಹೋಗಿ,Working literal gloss: Go home,No specific defect established by desk review; native-human sentence approval is still absent.,ಮುಖಪುಟಕ್ಕೆ ಹೋಗಿ,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.close,Session controls / ending state — session.close,Close,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Close",ಮುಚ್ಚಿ,Working literal gloss: Close,No specific defect established by desk review; native-human sentence approval is still absent.,ಮುಚ್ಚಿ,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.retry_connection,Session controls / ending state — session.retry_connection,Retry connection,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Retry connection",ಮತ್ತೆ ಸಂಪರ್ಕಿಸಿ,Working literal gloss: Retry connection,No specific defect established by desk review; native-human sentence approval is still absent.,ಮತ್ತೆ ಸಂಪರ್ಕಿಸಿ,,YES,,READY_FOR_NATIVE_REVIEW,,
ui.session.enable_face_display,Session controls / ending state — session.enable_face_display,Enable face display,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Enable face display",ಮುಖ ಪ್ರದರ್ಶನವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,Working literal gloss: Enable face display,No specific defect established by desk review; native-human sentence approval is still absent.,ಮುಖ ಪ್ರದರ್ಶನವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,,YES,,READY_FOR_NATIVE_REVIEW,,
